"Root","RelativePath","Extension","SizeBytes","LastWriteTime"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습문제2.txt",".txt","3046","2026-06-09 10:12:33"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\housing.csv",".csv","31859","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\housing_pytorch_dnn.ipynb",".ipynb","360544","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\housing_pytorch_dnn-실습.ipynb",".ipynb","1352400","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0608-s\housing_pytorch_dnn-실습2.ipynb",".ipynb","1505842","2026-06-09 09:07:28"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\1.ipynb",".ipynb","16297","2026-06-09 12:50:02"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch.ipynb",".ipynb","238042","2026-06-09 09:40:53"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch_실습.ipynb",".ipynb","234941","2026-06-10 11:23:02"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\1d_neurial_cubic_torch_실습.txt",".txt","13867","2026-06-09 16:00:44"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\1d_neurial_quadratic_torch.ipynb",".ipynb","145293","2026-06-09 09:41:00"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\2_딥러닝_신경망알고리즘_계층구조.pdf",".pdf","1136521","2026-06-09 09:40:40"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\activation_functions_pytorch.ipynb",".ipynb","553349","2026-06-09 09:40:46"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch.ipynb",".ipynb","310739","2026-06-09 09:41:08"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch_실습.ipynb",".ipynb","338701","2026-06-10 11:23:47"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\NN_Spiral_Multiclass_torch_실습문제.txt",".txt","49174","2026-06-09 17:45:12"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\numpy_percept_logical_gate.ipynb",".ipynb","11446","2026-06-09 09:40:27"
"from_colab_deep_learning","from_colab_deep_learning\0609-s\실습문제_답안.txt",".txt","4679","2026-06-10 09:08:43"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\3_딥러닝_데이터처리와데이터셋.pdf",".pdf","2262451","2026-06-10 09:14:14"
"from_colab_deep_learning","from_colab_deep_learning\0610-s\5.bmp",".bmp","174","2026-06-10 14:26:31"
